,Id,MSSubClass,LotFrontage,LotArea,Street,Neighborhood,OverallQual,OverallCond,YearBuilt,RoofMatl,MasVnrArea,BsmtQual,BsmtCond,BsmtFinType1,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenAbvGr,GarageArea,PavedDrive,MiscVal,MoSold,YrSold,SaleCondition,SalePrice
150,151,20,120.0,10356,Pave,CollgCr,5,6,1975,CompShg,0.0,TA,TA,BLQ,GasA,TA,Y,969,0,969,1,1,440,Y,0,1,2007,Normal,122000
151,152,20,107.0,13891,Pave,NridgHt,8,5,2007,CompShg,436.0,Ex,TA,GLQ,GasA,Ex,Y,1710,0,1710,2,1,866,Y,0,1,2008,Partial,372402
152,153,60,,14803,Pave,NWAmes,6,5,1971,CompShg,252.0,TA,TA,Rec,GasA,Gd,Y,1097,896,1993,2,1,495,Y,0,6,2006,Normal,190000
153,154,20,,13500,Pave,ClearCr,6,7,1960,CompShg,0.0,Gd,TA,BLQ,GasA,Gd,Y,1252,0,1252,1,1,564,Y,0,3,2008,Normal,235000
154,155,30,84.0,11340,Pave,OldTown,6,5,1923,CompShg,0.0,TA,TA,Unf,GasA,TA,Y,1200,0,1200,1,1,312,Y,0,3,2006,Family,125000
155,156,50,60.0,9600,Pave,Edwards,6,5,1924,CompShg,0.0,TA,TA,Unf,Grav,Fa,N,572,524,1096,1,1,0,N,0,4,2008,Normal,79000
156,157,20,60.0,7200,Pave,NAmes,5,7,1950,CompShg,0.0,,,,GasA,TA,Y,1040,0,1040,1,1,625,Y,0,6,2006,Normal,109500
157,158,60,92.0,12003,Pave,Timber,8,5,2009,CompShg,84.0,Ex,TA,Unf,GasA,Ex,Y,774,1194,1968,2,1,680,Y,0,5,2010,Partial,269500
158,159,60,100.0,12552,Pave,Somerst,7,5,2004,CompShg,0.0,Gd,TA,GLQ,GasA,Ex,Y,991,956,1947,2,1,678,Y,0,5,2010,Normal,254900
159,160,60,134.0,19378,Pave,Gilbert,7,5,2005,CompShg,456.0,Gd,TA,GLQ,GasA,Ex,Y,1392,1070,2462,2,1,576,Y,0,3,2006,Partial,320000
160,161,20,,11120,Pave,Veenker,6,6,1984,CompShg,0.0,Gd,TA,BLQ,GasA,TA,Y,1232,0,1232,2,1,516,Y,0,6,2008,Normal,162500
161,162,60,110.0,13688,Pave,NridgHt,9,5,2003,CompShg,664.0,Ex,TA,GLQ,GasA,Ex,Y,1572,1096,2668,2,1,726,Y,0,3,2008,Normal,412500
162,163,20,95.0,12182,Pave,NridgHt,7,5,2005,CompShg,226.0,Gd,TA,BLQ,GasA,Ex,Y,1541,0,1541,2,1,532,Y,0,5,2010,Partial,220000
163,164,45,55.0,5500,Pave,OldTown,4,6,1956,CompShg,0.0,TA,TA,Unf,GasA,Ex,Y,882,0,882,1,1,0,Y,0,4,2007,Normal,103200
164,165,40,40.0,5400,Pave,OldTown,6,7,1926,CompShg,0.0,TA,TA,LwQ,GasA,Gd,Y,1149,467,1616,2,1,216,Y,0,10,2007,Normal,152000
165,166,190,62.0,10106,Pave,Edwards,5,7,1940,CompShg,0.0,TA,TA,ALQ,GasA,Gd,Y,808,547,1355,2,2,0,Y,0,9,2008,Normal,127500
166,167,20,,10708,Pave,ClearCr,5,5,1955,CompShg,0.0,TA,TA,LwQ,GasA,Ex,Y,1867,0,1867,1,1,303,Y,0,11,2009,Normal,190000
167,168,60,86.0,10562,Pave,NridgHt,8,5,2007,CompShg,300.0,Ex,TA,GLQ,GasA,Ex,Y,1610,551,2161,1,1,789,Y,0,11,2007,Partial,325624
168,169,60,62.0,8244,Pave,Gilbert,7,5,2004,CompShg,0.0,Gd,TA,Unf,GasA,Ex,Y,840,880,1720,2,1,440,Y,0,5,2007,Normal,183500
169,170,20,,16669,Pave,Timber,8,6,1981,WdShake,653.0,Gd,TA,Unf,GasA,TA,Y,1707,0,1707,2,1,511,Y,0,1,2006,Normal,228000
170,171,50,,12358,Pave,OldTown,5,6,1941,CompShg,0.0,TA,TA,Rec,GasA,TA,Y,854,0,1382,1,1,660,Y,0,5,2007,Normal,128500
171,172,20,141.0,31770,Pave,NAmes,6,5,1960,CompShg,112.0,TA,Gd,BLQ,GasA,Fa,Y,1656,0,1656,1,1,528,P,0,5,2010,Normal,215000
172,173,160,44.0,5306,Pave,StoneBr,7,7,1987,CompShg,0.0,Gd,Gd,GLQ,GasA,Gd,Y,1064,703,1767,2,1,504,Y,0,6,2006,Normal,239000
173,174,20,80.0,10197,Pave,NAmes,6,5,1961,CompShg,491.0,TA,TA,ALQ,GasA,TA,Y,1362,0,1362,1,1,504,Y,0,6,2008,Normal,163000
174,175,20,47.0,12416,Pave,Timber,6,5,1986,CompShg,132.0,Gd,Fa,ALQ,GasA,TA,Y,1651,0,1651,2,1,616,Y,0,11,2008,Normal,184000
175,176,20,84.0,12615,Pave,Edwards,6,7,1950,CompShg,0.0,TA,Gd,ALQ,GasA,TA,Y,2158,0,2158,2,1,576,Y,0,6,2007,Normal,243000
176,177,60,97.0,10029,Pave,ClearCr,6,5,1988,CompShg,268.0,Gd,TA,GLQ,GasA,TA,Y,1164,896,2060,2,1,521,Y,0,9,2007,Normal,211000
177,178,50,,13650,Pave,Sawyer,5,5,1958,CompShg,0.0,TA,TA,ALQ,GasA,Ex,Y,1252,668,1920,2,1,451,Y,0,7,2006,Normal,172500
178,179,20,63.0,17423,Pave,StoneBr,9,5,2008,CompShg,748.0,Ex,TA,GLQ,GasA,Ex,Y,2234,0,2234,2,1,1166,Y,0,7,2009,Partial,501837
179,180,30,60.0,8520,Pave,OldTown,5,6,1923,CompShg,0.0,TA,TA,Unf,GasA,TA,Y,968,0,968,1,1,480,N,0,7,2007,Normal,100000
180,181,160,,2117,Pave,Somerst,6,5,2000,CompShg,456.0,Gd,TA,GLQ,GasA,Ex,Y,769,756,1525,2,1,440,Y,0,6,2007,Normal,177000
181,182,70,54.0,7588,Pave,Crawfor,7,6,1920,CompShg,0.0,Fa,TA,LwQ,GasA,Gd,Y,901,901,1802,1,1,216,Y,0,7,2006,Normal,200100
182,183,20,60.0,9060,Pave,Edwards,5,6,1957,CompShg,98.0,,,,GasA,Ex,Y,1340,0,1340,1,1,252,Y,0,6,2007,Normal,120000
183,184,50,63.0,11426,Pave,OldTown,7,5,2003,CompShg,0.0,Gd,TA,Unf,GasA,Ex,Y,1362,720,2082,2,1,484,N,0,6,2008,Normal,200000
184,185,50,92.0,7438,Pave,BrkSide,5,8,1908,CompShg,0.0,Fa,TA,Unf,GasA,Gd,Y,936,316,1252,1,1,576,Y,0,6,2006,Normal,127000
185,186,75,90.0,22950,Pave,OldTown,10,9,1892,WdShngl,0.0,TA,TA,Unf,GasA,Ex,Y,1518,1518,3608,2,1,840,Y,0,6,2006,Normal,475000
186,187,80,,9947,Pave,Mitchel,7,5,1990,CompShg,0.0,Gd,TA,GLQ,GasA,Ex,Y,1217,0,1217,2,1,497,Y,0,6,2009,Normal,173000
187,188,50,60.0,10410,Pave,OldTown,5,7,1916,CompShg,0.0,Fa,TA,Unf,GasA,Ex,Y,808,704,1656,2,1,180,N,0,8,2009,Normal,135000
188,189,90,64.0,7018,Pave,SawyerW,5,5,1979,CompShg,275.0,Gd,TA,GLQ,GasA,TA,Y,1224,0,1224,0,2,528,Y,0,6,2009,Alloca,153337
189,190,120,41.0,4923,Pave,StoneBr,8,5,2001,CompShg,0.0,Ex,TA,GLQ,GasA,Ex,Y,1593,0,1593,1,1,682,Y,0,8,2008,Normal,286000
190,191,70,70.0,10570,Pave,Crawfor,8,8,1932,CompShg,0.0,Gd,Gd,Rec,GasA,TA,Y,1549,1178,2727,2,1,440,Y,0,12,2007,Normal,315000
191,192,60,,7472,Pave,NAmes,7,9,1972,CompShg,138.0,TA,TA,ALQ,GasA,Gd,Y,725,754,1479,1,1,484,Y,0,6,2007,Normal,184000
192,193,20,68.0,9017,Pave,CollgCr,7,5,1999,CompShg,0.0,Gd,TA,GLQ,GasA,Ex,Y,1431,0,1431,2,1,666,Y,0,9,2009,Normal,192000
193,194,160,24.0,2522,Pave,Edwards,7,5,2004,CompShg,50.0,Gd,TA,Unf,GasA,Ex,Y,970,739,1709,2,1,380,Y,0,5,2006,Normal,130000
194,195,20,60.0,7180,Pave,CollgCr,5,7,1972,CompShg,0.0,TA,TA,ALQ,GasA,TA,Y,864,0,864,1,1,352,Y,0,5,2008,Normal,127000
195,196,160,24.0,2280,Pave,NPkVill,6,6,1976,CompShg,0.0,Gd,TA,ALQ,GasA,TA,Y,855,601,1456,2,1,440,Y,0,7,2009,Normal,148500
196,197,20,79.0,9416,Pave,Somerst,7,5,2007,CompShg,205.0,Ex,TA,GLQ,GasA,Ex,Y,1726,0,1726,2,1,786,Y,0,9,2007,Partial,311872
197,198,75,174.0,25419,Pave,NAmes,8,4,1918,CompShg,0.0,TA,TA,GLQ,GasA,Gd,Y,1360,1360,3112,2,1,795,Y,0,3,2006,Abnorml,235000
198,199,75,92.0,5520,Pave,OldTown,6,6,1912,CompShg,0.0,TA,TA,Unf,GasA,Ex,Y,929,929,2229,1,1,0,Y,0,7,2009,Abnorml,104000
199,200,20,76.0,9591,Pave,NridgHt,8,5,2004,CompShg,262.0,Ex,TA,GLQ,GasA,Ex,Y,1713,0,1713,2,1,856,Y,0,1,2009,Normal,274900
200,201,20,80.0,8546,Pave,Edwards,4,5,2003,CompShg,0.0,Gd,TA,Unf,GasA,Ex,Y,1121,0,1121,2,1,440,Y,0,3,2010,Normal,140000
201,202,20,75.0,10125,Pave,Mitchel,6,6,1977,CompShg,0.0,TA,TA,ALQ,GasA,TA,Y,1279,0,1279,2,1,473,Y,0,2,2008,Normal,171500
202,203,50,50.0,7000,Pave,OldTown,6,6,1924,CompShg,0.0,Fa,TA,LwQ,GasA,Gd,Y,865,445,1310,2,1,398,Y,0,5,2006,Normal,112000
203,204,120,,4438,Pave,CollgCr,6,5,2004,CompShg,205.0,Gd,TA,GLQ,GasA,Ex,Y,848,0,848,1,1,420,Y,0,1,2008,Normal,149000
204,205,50,50.0,3500,Pave,OldTown,5,7,1947,CompShg,0.0,TA,TA,LwQ,GasA,TA,Y,720,564,1284,1,1,240,Y,0,4,2009,Normal,110000
205,206,20,99.0,11851,Pave,Gilbert,7,5,1990,CompShg,0.0,Gd,TA,Unf,GasA,Ex,Y,1442,0,1442,2,1,500,Y,0,5,2009,Normal,180500
206,207,20,40.0,13673,Pave,Sawyer,5,5,1962,CompShg,0.0,TA,TA,Unf,GasA,TA,Y,1696,0,1696,1,1,349,Y,0,3,2007,Normal,143900
207,208,20,,12493,Pave,NAmes,4,5,1960,CompShg,0.0,TA,TA,ALQ,GasA,TA,Y,1100,0,1100,1,1,312,Y,0,4,2008,Normal,141000
208,209,60,,14364,Pave,SawyerW,7,5,1988,CompShg,128.0,Gd,TA,GLQ,GasA,Ex,Y,1180,882,2062,2,1,454,Y,0,4,2007,Normal,277000
209,210,20,75.0,8250,Pave,NAmes,6,7,1964,CompShg,260.0,Gd,TA,Rec,GasA,Ex,Y,1092,0,1092,1,1,504,Y,0,7,2008,Normal,145000
210,211,30,67.0,5604,Pave,Edwards,5,6,1925,CompShg,0.0,TA,TA,Rec,GasA,TA,N,864,0,864,1,1,0,Y,0,4,2008,Normal,98000
211,212,20,83.0,10420,Pave,Edwards,6,5,2009,CompShg,0.0,Gd,TA,GLQ,GasA,Ex,Y,1212,0,1212,2,1,460,Y,0,3,2010,Normal,186000
212,213,60,72.0,8640,Pave,Somerst,7,5,2009,CompShg,0.0,Gd,TA,GLQ,GasA,Ex,Y,932,920,1852,2,1,644,Y,0,7,2009,Partial,252678
213,214,20,43.0,13568,Pave,CollgCr,5,5,1995,CompShg,0.0,Gd,TA,ALQ,GasA,Ex,Y,990,0,990,1,1,576,Y,0,7,2006,Normal,156000
214,215,60,,10900,Pave,CollgCr,6,7,1977,CompShg,153.0,Gd,TA,GLQ,GasA,Ex,Y,689,703,1392,1,1,299,Y,450,3,2010,Normal,161750
215,216,20,72.0,10011,Pave,NAmes,5,6,1957,CompShg,64.0,TA,TA,BLQ,GasA,TA,Y,1236,0,1236,1,1,447,Y,0,5,2006,Normal,134450
216,217,20,65.0,8450,Pave,CollgCr,7,5,2004,CompShg,266.0,Gd,TA,GLQ,GasA,Ex,Y,1436,0,1436,2,1,484,Y,0,4,2008,Normal,210000
217,218,70,57.0,9906,Pave,OldTown,4,4,1925,CompShg,0.0,TA,TA,Unf,GasA,Fa,N,810,518,1328,1,1,210,Y,0,9,2006,Family,107000
218,219,50,,15660,Pave,Crawfor,7,9,1939,CompShg,312.0,TA,TA,BLQ,GasA,Ex,Y,1137,817,1954,1,1,431,Y,0,5,2008,Normal,311500
219,220,120,43.0,3010,Pave,Blmngtn,7,5,2005,CompShg,16.0,Gd,TA,GLQ,GasA,Ex,Y,1248,0,1248,2,1,438,Y,0,3,2006,Partial,167240
220,221,20,73.0,8990,Pave,CollgCr,7,5,2006,CompShg,0.0,Gd,TA,Unf,GasA,Ex,Y,1498,0,1498,2,1,675,Y,0,4,2006,Partial,204900
221,222,60,,8068,Pave,Gilbert,6,5,2002,CompShg,0.0,Gd,TA,Unf,GasA,Ex,Y,1010,1257,2267,2,1,390,Y,0,12,2009,Normal,200000
222,223,60,85.0,11475,Pave,NWAmes,6,6,1975,CompShg,0.0,Gd,TA,ALQ,GasA,TA,Y,811,741,1552,2,1,434,Y,0,2,2006,Normal,179900
223,224,20,70.0,10500,Pave,NAmes,4,6,1971,CompShg,0.0,TA,TA,ALQ,GasA,Gd,Y,864,0,864,1,1,576,Y,0,3,2009,Abnorml,97000
224,225,20,103.0,13472,Pave,NridgHt,10,5,2003,CompShg,922.0,Ex,TA,GLQ,GasA,Ex,Y,2392,0,2392,2,1,968,Y,0,6,2009,Normal,386250
225,226,160,21.0,1680,Pave,BrDale,5,5,1971,CompShg,142.0,TA,TA,Unf,GasA,TA,Y,630,672,1302,2,1,280,Y,0,5,2009,Abnorml,112000
226,227,60,82.0,9950,Pave,NoRidge,7,5,1995,CompShg,290.0,Gd,TA,GLQ,GasA,Ex,Y,1214,1306,2520,2,1,721,Y,0,6,2007,Abnorml,290000
227,228,160,21.0,1869,Pave,BrDale,6,6,1970,CompShg,127.0,TA,TA,Rec,GasA,TA,Y,483,504,987,1,1,280,Y,0,9,2008,Normal,106000
228,229,20,70.0,8521,Pave,Sawyer,5,5,1967,CompShg,0.0,TA,TA,ALQ,GasA,TA,Y,912,0,912,1,1,336,Y,0,5,2010,Normal,125000
229,230,120,43.0,3182,Pave,Blmngtn,7,5,2005,CompShg,16.0,Gd,TA,GLQ,GasA,Ex,Y,1555,0,1555,2,1,430,Y,0,5,2009,Normal,192500
230,231,20,73.0,8760,Pave,NAmes,6,6,1959,CompShg,220.0,TA,TA,Unf,GasA,TA,Y,1194,0,1194,1,1,312,Y,0,4,2010,Normal,148000
231,232,60,174.0,15138,Pave,NoRidge,8,5,1995,CompShg,506.0,Gd,TA,GLQ,GasA,Ex,Y,1490,1304,2794,2,1,810,Y,0,7,2009,Normal,403000
232,233,160,21.0,1680,Pave,BrDale,6,5,1972,CompShg,297.0,TA,TA,Unf,GasA,TA,Y,483,504,987,1,1,288,Y,0,6,2006,Normal,94500
233,234,20,75.0,10650,Pave,CollgCr,5,6,1976,CompShg,0.0,TA,Gd,LwQ,GasA,TA,Y,894,0,894,1,1,308,Y,0,2,2010,Normal,128200
234,235,60,,7851,Pave,Gilbert,6,5,2002,CompShg,,Gd,TA,GLQ,GasA,Ex,Y,860,1100,1960,2,1,440,Y,0,5,2010,Normal,216500
235,236,160,21.0,1680,Pave,BrDale,6,3,1971,CompShg,604.0,TA,TA,ALQ,GasA,TA,Y,483,504,987,1,1,264,Y,0,8,2008,Normal,89500
236,237,20,65.0,8773,Pave,CollgCr,7,5,2004,CompShg,98.0,Gd,TA,GLQ,GasA,Ex,Y,1414,0,1414,2,1,494,Y,0,5,2010,Normal,185500
237,238,60,,9453,Pave,SawyerW,7,7,1993,CompShg,0.0,Gd,TA,BLQ,GasA,Ex,Y,1014,730,1744,2,1,457,Y,0,2,2010,Normal,194500
238,239,20,93.0,12030,Pave,NridgHt,8,5,2007,CompShg,254.0,Ex,TA,Unf,GasA,Ex,Y,1694,0,1694,2,1,818,Y,0,12,2007,Partial,318000
239,240,50,52.0,8741,Pave,Edwards,6,4,1945,CompShg,0.0,TA,Fa,LwQ,GasA,TA,Y,798,689,1487,1,1,220,Y,0,4,2010,Normal,113000
240,241,20,75.0,9000,Pave,Somerst,8,5,2008,CompShg,36.0,Gd,TA,GLQ,GasA,Ex,Y,1566,0,1566,2,1,750,Y,0,4,2010,Normal,262500
241,242,30,40.0,3880,Pave,OldTown,5,9,1945,CompShg,0.0,TA,TA,ALQ,GasA,Gd,Y,866,0,866,1,1,0,Y,0,8,2007,Normal,110500
242,243,50,63.0,5000,Pave,OldTown,5,4,1900,CompShg,0.0,TA,TA,Unf,GasA,Gd,N,889,551,1440,1,1,352,Y,0,4,2006,Normal,79000
243,244,160,75.0,10762,Pave,SawyerW,6,6,1980,CompShg,0.0,Gd,TA,Unf,GasA,TA,Y,626,591,1217,1,1,288,Y,0,4,2009,Normal,120000
244,245,60,,8880,Pave,SawyerW,7,5,1994,CompShg,0.0,Gd,TA,GLQ,GasA,Ex,Y,1222,888,2110,2,1,463,Y,0,5,2010,Normal,205000
245,246,20,80.0,10400,Pave,NWAmes,7,5,1988,CompShg,102.0,Gd,TA,GLQ,GasA,Gd,Y,1872,0,1872,2,1,604,Y,0,6,2006,Normal,241500
246,247,190,69.0,9142,Pave,OldTown,6,8,1910,CompShg,0.0,Fa,TA,Unf,GasA,Gd,N,908,1020,1928,2,2,440,Y,0,4,2006,Normal,137000
247,248,20,75.0,11310,Pave,NAmes,6,5,1954,CompShg,0.0,TA,TA,Unf,GasA,Ex,Y,1375,0,1375,1,1,451,Y,0,6,2006,Normal,140000
248,249,60,72.0,11317,Pave,CollgCr,7,5,2003,CompShg,101.0,Gd,TA,Unf,GasA,Ex,Y,840,828,1668,2,1,500,Y,0,9,2007,Normal,180000
249,250,50,,159000,Pave,ClearCr,6,7,1958,CompShg,472.0,Gd,TA,Rec,GasA,Gd,Y,1444,700,2144,2,1,389,Y,500,6,2007,Normal,277000
250,251,30,55.0,5350,Pave,BrkSide,3,2,1940,CompShg,0.0,TA,TA,Unf,GasA,Ex,Y,1306,0,1306,1,1,0,Y,450,5,2010,Normal,76500
251,252,120,44.0,4750,Pave,Crawfor,8,5,2006,CompShg,481.0,Gd,TA,GLQ,GasA,Ex,Y,1625,0,1625,2,1,538,Y,0,12,2007,Family,235000
252,253,60,65.0,8366,Pave,SawyerW,6,5,2004,CompShg,0.0,Gd,TA,Unf,GasA,Ex,Y,798,842,1640,2,1,520,Y,0,12,2008,Normal,173000
253,254,80,85.0,9350,Pave,NAmes,6,7,1964,CompShg,108.0,Gd,TA,LwQ,GasA,Ex,Y,1302,0,1302,2,1,309,Y,0,10,2007,Normal,158000
254,255,20,70.0,8400,Pave,NAmes,5,6,1957,CompShg,0.0,TA,TA,Rec,GasA,TA,Y,1314,0,1314,1,1,294,Y,0,6,2010,Normal,145000
255,256,60,66.0,8738,Pave,Gilbert,7,5,1999,CompShg,302.0,Gd,TA,Unf,GasA,Ex,Y,1005,1286,2291,2,1,429,Y,0,2,2006,Normal,230000
256,257,60,64.0,8791,Pave,Somerst,6,5,2003,CompShg,0.0,Gd,TA,Rec,GasA,Ex,Y,864,864,1728,2,1,673,Y,0,5,2008,Normal,207500
257,258,20,68.0,8814,Pave,CollgCr,7,5,2006,CompShg,180.0,Gd,TA,GLQ,GasA,Ex,Y,1604,0,1604,2,1,660,Y,0,3,2009,Abnorml,220000
258,259,60,80.0,12435,Pave,CollgCr,7,5,2001,CompShg,172.0,Gd,TA,GLQ,GasA,Ex,Y,963,829,1792,2,1,564,Y,0,5,2008,Normal,231500
259,260,20,70.0,12702,Pave,OldTown,5,5,1956,CompShg,0.0,,,,GasA,Gd,Y,882,0,882,1,1,308,Y,0,12,2008,Normal,97000
260,261,80,120.0,19296,Pave,NAmes,6,5,1962,CompShg,399.0,TA,TA,Rec,GasA,TA,Y,1382,0,1382,1,1,884,Y,0,5,2009,Normal,176000
261,262,60,69.0,9588,Pave,CollgCr,8,5,2007,CompShg,270.0,Ex,TA,Unf,GasA,Ex,Y,1482,1092,2574,2,1,868,Y,0,11,2007,Partial,276000
262,263,80,88.0,8471,Pave,Sawyer,6,7,1977,CompShg,46.0,Gd,Gd,ALQ,GasA,TA,Y,1212,0,1212,1,1,492,Y,0,7,2006,Normal,151000
263,264,50,50.0,5500,Pave,OldTown,5,7,1929,CompShg,0.0,TA,TA,LwQ,GasA,TA,Y,926,0,1316,1,1,484,Y,0,4,2010,Normal,130000
264,265,30,30.0,5232,Pave,OldTown,5,5,1925,CompShg,0.0,Fa,TA,Unf,GasA,Gd,N,764,0,764,1,1,504,N,0,6,2008,Normal,73000
265,266,20,78.0,12090,Pave,NWAmes,6,6,1981,CompShg,210.0,Gd,TA,GLQ,GasA,TA,Y,1422,0,1422,2,1,576,Y,0,6,2008,Normal,175500
266,267,60,70.0,11207,Pave,Gilbert,6,5,1997,CompShg,0.0,Gd,TA,GLQ,GasA,Gd,Y,802,709,1511,2,1,413,Y,0,6,2006,Normal,185000
267,268,75,60.0,8400,Pave,SWISU,5,8,1939,CompShg,0.0,TA,TA,LwQ,GasA,Ex,Y,1052,720,2192,2,1,240,Y,0,7,2008,Normal,179500
268,269,30,71.0,6900,Pave,IDOTRR,5,6,1940,CompShg,0.0,TA,TA,ALQ,GasA,Ex,Y,778,0,778,1,1,924,Y,0,2,2008,Normal,120500
269,270,20,,7917,Pave,Edwards,6,7,1976,CompShg,174.0,TA,Gd,BLQ,GasA,TA,Y,1113,0,1113,1,1,504,Y,0,5,2007,Normal,148000
270,271,60,84.0,10728,Pave,Somerst,8,5,2006,CompShg,0.0,Gd,TA,Unf,GasA,Gd,Y,1095,844,1939,2,1,1053,Y,0,8,2006,Partial,266000
271,272,20,73.0,39104,Pave,ClearCr,7,7,1954,Membran,0.0,Gd,TA,LwQ,GasA,Ex,Y,1363,0,1363,1,1,439,Y,0,4,2008,Normal,241500
272,273,60,92.0,11764,Pave,NoRidge,8,7,1999,CompShg,348.0,Gd,TA,GLQ,GasA,Ex,Y,1164,1106,2270,2,1,671,Y,0,4,2010,Normal,290000
273,274,20,80.0,9600,Pave,NAmes,6,6,1958,CompShg,183.0,TA,TA,Rec,GasA,Gd,Y,1632,0,1632,2,1,338,Y,0,4,2009,Normal,139000
274,275,20,76.0,8314,Pave,Mitchel,5,7,1982,CompShg,0.0,TA,TA,ALQ,GasA,TA,Y,816,0,816,1,1,264,Y,0,6,2007,Normal,124500
275,276,50,55.0,7264,Pave,BrkSide,7,7,1925,CompShg,0.0,TA,TA,Unf,GasW,Gd,N,952,596,1548,2,1,672,Y,0,10,2009,Normal,205000
276,277,20,129.0,9196,Pave,Mitchel,7,5,2003,CompShg,0.0,Ex,TA,Unf,GasA,Ex,Y,1560,0,1560,2,1,573,Y,0,4,2010,Normal,201000
277,278,20,140.0,19138,Pave,Gilbert,4,5,1951,CompShg,0.0,TA,TA,LwQ,GasA,Ex,Y,864,0,864,1,1,400,Y,0,6,2010,Normal,141000
278,279,20,107.0,14450,Pave,NridgHt,9,5,2006,CompShg,315.0,Ex,TA,Unf,GasA,Ex,Y,2121,0,2121,2,1,732,Y,0,5,2007,Partial,415298
279,280,60,83.0,10005,Pave,ClearCr,7,5,1977,CompShg,299.0,Gd,TA,BLQ,GasA,Ex,Y,1156,866,2022,2,1,505,Y,0,3,2008,Normal,192000
280,281,60,82.0,11287,Pave,SawyerW,7,6,1989,CompShg,340.0,Gd,TA,GLQ,GasA,Gd,Y,1175,807,1982,2,1,575,Y,0,1,2007,Normal,228500
281,282,20,60.0,7200,Pave,Somerst,6,5,2006,CompShg,68.0,Gd,TA,GLQ,GasA,Gd,Y,1262,0,1262,2,1,572,Y,0,5,2006,Partial,185000
282,283,120,34.0,5063,Pave,NridgHt,7,5,2007,CompShg,166.0,Gd,TA,GLQ,GasA,Ex,Y,1314,0,1314,2,1,626,Y,0,4,2009,Normal,207500
283,284,20,74.0,9612,Pave,Somerst,8,5,2008,CompShg,72.0,Gd,TA,Unf,GasA,Ex,Y,1468,0,1468,2,1,898,Y,0,12,2009,Partial,244600
284,285,120,50.0,8012,Pave,SawyerW,6,5,1992,CompShg,0.0,Gd,TA,GLQ,GasA,Gd,Y,1575,0,1575,2,1,529,Y,0,7,2007,Normal,179200
285,286,160,35.0,4251,Pave,Somerst,7,5,2006,CompShg,0.0,Gd,TA,Unf,GasA,Ex,Y,625,625,1250,2,1,528,Y,0,6,2007,Partial,164700
286,287,50,77.0,9786,Pave,NAmes,6,7,1962,CompShg,0.0,TA,TA,Rec,GasA,TA,Y,1085,649,1734,1,1,440,Y,0,6,2006,Normal,159000
287,288,20,,8125,Pave,NAmes,4,4,1971,CompShg,0.0,TA,TA,BLQ,GasA,TA,Y,858,0,858,1,1,0,Y,0,6,2006,Normal,88000
288,289,20,,9819,Pave,Sawyer,5,5,1967,CompShg,31.0,TA,TA,BLQ,GasA,TA,Y,900,0,900,1,1,280,Y,0,2,2010,Normal,122000
289,290,70,60.0,8730,Pave,BrkSide,6,7,1915,CompShg,0.0,TA,TA,Unf,GasA,Ex,Y,698,698,1396,1,1,384,Y,0,7,2007,Normal,153575
290,291,60,120.0,15611,Pave,CollgCr,8,5,2006,CompShg,0.0,Gd,TA,Unf,GasA,Ex,Y,1079,840,1919,2,1,685,Y,0,7,2006,Partial,233230
291,292,190,55.0,5687,Pave,SWISU,5,6,1912,CompShg,0.0,TA,Fa,Rec,GasA,Ex,N,936,780,1716,2,1,0,N,0,3,2008,Normal,135900
292,293,50,60.0,11409,Pave,Edwards,5,4,1949,CompShg,0.0,TA,TA,LwQ,GasA,Gd,Y,1148,568,1716,1,1,281,Y,0,1,2009,Normal,131000
293,294,60,,16659,Pave,NWAmes,7,7,1977,CompShg,34.0,TA,TA,ALQ,GasA,Fa,Y,1468,795,2263,2,1,539,Y,0,3,2006,Normal,235000
294,295,20,80.0,9600,Pave,NAmes,6,5,1953,CompShg,238.0,TA,TA,GLQ,GasA,TA,Y,1644,0,1644,1,1,418,Y,0,10,2009,Normal,167000
295,296,80,37.0,7937,Pave,Mitchel,6,6,1984,CompShg,0.0,TA,TA,GLQ,GasA,TA,Y,1003,0,1003,1,1,588,Y,0,3,2006,Normal,142500
296,297,50,75.0,13710,Pave,IDOTRR,5,5,1950,CompShg,0.0,TA,TA,BLQ,GasA,TA,Y,910,648,1558,1,1,282,Y,0,6,2007,Normal,152000
297,298,60,66.0,7399,Pave,Somerst,7,5,1997,CompShg,1600.0,Gd,TA,BLQ,GasA,Ex,Y,975,975,1950,2,1,576,Y,0,6,2007,Normal,239000
298,299,60,90.0,11700,Pave,NWAmes,6,6,1968,CompShg,365.0,TA,TA,ALQ,GasA,Gd,Y,1041,702,1743,1,1,539,Y,0,6,2007,Normal,175000
299,300,20,80.0,14000,Pave,Crawfor,6,8,1950,CompShg,0.0,TA,TA,Unf,GasA,Ex,Y,1152,0,1152,1,1,300,Y,0,8,2009,Family,158500
300,301,190,90.0,15750,Pave,Crawfor,5,5,1953,CompShg,56.0,TA,TA,BLQ,GasA,TA,Y,1336,0,1336,1,1,375,Y,0,6,2006,Normal,157000
301,302,60,66.0,16226,Pave,CollgCr,8,5,1998,CompShg,0.0,Gd,TA,GLQ,GasA,Ex,Y,1210,1242,2452,2,1,683,Y,0,5,2007,Normal,267000
